,Hospital Name,Nearby Cell Towers
728,Valley Forge Medical Center,0,0,1
729,WellSpan Gettysburg Hospital,0,0,10
730,Excela Health Westmoreland Hospital,0,0,16
731,AHN Grove City,0,0,0
732,UPMC Hanover,0,0,25
733,Encompass Health Rehabilitation Hospital of Harmarville,0,0,1
734,Lehigh Valley Hospital - Hazleton,0,0,0
735,Jefferson Hospital,0,0,0
736,Wayne Memorial Hospital,0,0,0
737,Penn Highlands Huntingdon,0,0,0
738,Indiana Regional Medical Center,0,0,3
739,Geisinger Jersey Shore Hospital,0,0,0
740,UPMC Kane,0,0,0
741,ACMH Hospital,0,0,0
742,Penn Medicine Lancaster General Health,1,1,12
743,St. Mary Medical Center,0,0,6
744,Jefferson Lansdale Hospital,0,0,3
745,Excela Health Latrobe Hospital,0,0,4
746,WellSpan Philhaven,0,0,0
747,Lebanon Veterans Affairs Medical Center,0,0,0
748,Encompass Health Rehabilitation Hospital of Sewickley,0,0,0
749,Evangelical Community Hospital,0,0,0
750,U. S. Penitentiary Infirmary,0,0,0
751,Geisinger Lewistown Hospital,0,0,2
752,Fulton County Medical Center,0,0,0
753,UPMC McKeesport,0,0,3
754,Meadville Medical Center,0,0,0
755,Heritage Valley Kennedy,0,0,1
756,Holy Redeemer Hospital,0,0,4
757,Encompass Health Rehabilitation Hospital of Mechanicsburg,0,0,0
758,Riddle Hospital,0,0,1
759,Guthrie Troy Community Hospital,0,0,0
760,Conemaugh Meyersdale Medical Center,0,0,0
761,Endless Mountains Health Systems,0,0,0
762,Excela Frick Hospital,0,0,1
763,UPMC Muncy,0,0,0
764,UPMC Jameson,0,0,4
765,The Meadows Psychiatric Center,0,0,0
766,Montgomery County Emergency Service,0,0,1
767,Norristown State Hospital,0,0,6
768,Suburban Community Hospital,0,0,3
769,Einstein Medical Center Philadelphia,0,0,55
770,Fox Chase Cancer Center,0,0,26
771,Temple Health—Chestnut Hill Hospital,0,0,25
772,Children's Hospital of Philadelphia,0,1,64
773,Fairmount Behavioral Health System,0,0,8
774,Friends Hospital,0,0,18
775,Hospital of the University of Pennsylvania,0,1,62
776,Kensington Hospital,0,0,31
777,Lankenau Medical Center,0,0,7
778,Magee Rehabilitation,0,2,399
779,Roxborough Memorial Hospital,0,2,13
780,Nazareth Hospital,0,0,24
781,Belmont Behavioral Health System,0,0,19
782,Penn Presbyterian Medical Center,0,0,59
783,St. Christopher's Hospital for Children,0,0,26
784,Shriners Children's Philadelphia,0,3,59
785,Temple University Hospital,0,0,62
786,Philadelphia Veterans Affairs Medical Center,0,0,55
787,Wills Eye Hospital,0,0,337
788,Brooke Glen Behavioral Hospital,0,0,6
789,Phoenixville Hospital,0,0,1
790,UPMC Children's Hospital of Pittsburgh,0,2,17
791,The Children's Home of Pittsburgh,0,0,19
792,UPMC Magee-Womens Hospital,0,0,40
793,The Children's Institute of Pittsburgh,0,0,4
794,UPMC Mercy,0,0,50
795,UPMC Passavant,0,1,5
796,Forbes Hospital,0,0,22
797,St. Clair Health,0,0,0
798,UPMC St. Margaret,0,0,4
799,West Penn Hospital,0,0,22
800,Geisinger Wyoming Valley Medical Center,0,0,12
801,Pottstown Hospital,0,0,2
802,Lehigh Valley Hospital - Schuylkill,0,0,0
803,Punxsutawney Area Hospital,0,0,0
804,St. Luke's Quakertown Campus,0,0,6
805,Encompass Health Rehabilitation Hospital of Reading,0,0,0
806,Bucktail Medical Center,0,0,0
807,Conemaugh Nason Medical Center,0,0,0
808,Huntington Creek Recovery Center,0,0,0
809,Penn Highlands Elk,0,0,0
810,Guthrie Robert Packer Hospital,0,0,0
811,Allied Services Scranton Rehabilitation Hospital,0,0,4
812,Geisinger Community Medical Center,0,0,17
813,Regional Hospital of Scranton,0,0,6
814,Grand View Health,0,0,6
815,Heritage Valley Sewickley,0,0,12
816,Sharon Regional Medical Center,0,0,0
817,UPMC Somerset,0,0,6
818,Conemaugh Miners Medical Center,0,0,0
819,Barnes-Kasson County Hospital,0,0,0
820,Allegheny Valley Hospital,0,0,0
821,Titusville Area Hospital,0,0,0
822,Torrance State Hospital,0,0,0
823,Penn Highlands Tyrone,0,0,0
824,WVU Medicine Uniontown Hospital,0,0,7
825,Warren General Hospital,0,0,0
826,Warren State Hospital,0,0,0
827,Washington Health System,0,2,10
828,Wellspan Waynesboro Hospital,0,0,14
829,Washington Health System Greene,0,0,0
830,UPMC Wellsboro,0,0,1
831,Wernersville State Hospital,0,0,0
832,Penn Medicine Chester County Hospital,0,0,0
833,Paoli Hospital,0,0,0
834,John Heinz Institute of Rehabilitation Medicine,0,0,8
835,Reading Hospital,0,0,13
836,Wilkes-Barre Veterans Affairs Medical Center,0,0,14
837,UPMC Williamsport,0,0,0
838,Chan Soon-Shiong Medical Center at Windber,0,0,0
839,Southwood Psychiatric Hospital,0,0,0
840,UPMC Memorial,0,0,14
841,WellSpan York Hospital,0,0,2
842,Encompass Health Rehabilitation Hospital of York,0,0,1
843,Encompass Health Rehabilitation Hospital of Altoona,0,0,3
844,Good Shepherd Rehabilitation Network,0,0,0
845,Clarion Hospital,0,0,4
846,Foundations Behavioral Health,0,0,2
847,UPMC Lititz,0,0,0
848,Malvern Institute,0,0,0
849,Bryn Mawr Rehabilitation Hospital,0,0,0
850,Bayhealth,0,0,3
851,Select Specialty Hospital-Wilmington,0,0,12
852,Dover Behavioral Health System,0,0,0
853,Delaware Psychiatric Center,0,0,38
854,Meadow Wood Behavioral Health System,0,0,0
855,Beebe Healthcare,0,5,11
856,TidalHealth Nanticoke,0,0,0
857,"Nemours Children's Hospital, Delaware",0,0,3
858,ChristianaCare,0,0,12
859,St. Francis Hospital,0,0,12
860,Rockford Center,0,0,10
861,Wilmington Veterans Affairs Medical Center,0,0,3
862,Sun Behavioral Delaware,0,0,0
863,Encompass Health Rehabilitation Hospital of Middletown,0,0,2
864,PAM Rehabilitation Hospital of Dover,0,0,1
865,Atlantic General Hospital,0,0,8
866,Encompass Health Rehabilitation Hospital of Salisbury,0,0,8
867,Adventist HealthCare Fort Washington Medical Center,0,0,36
868,Adventist HealthCare Rehabilitation,0,0,0
869,Sheppard Pratt,0,0,0
870,Anne Arundel Medical Center,0,0,52
871,Johns Hopkins Bayview Medical Center,0,0,41
872,MedStar Franklin Square Medical Center,0,0,12
873,Greater Baltimore Medical Center,0,0,0
874,MedStar Good Samaritan Hospital,0,0,0
875,Mt. Washington Pediatric Hospital,0,0,0
876,University of Maryland Rehabilitation & Orthopaedic Institute,0,0,10
877,Johns Hopkins Hospital,0,2,65
878,Levindale Hebrew Geriatric Center and Hospital,0,0,0
879,University of Maryland Medical Center Midtown Campus,0,0,119
880,UPMC Western Maryland,0,0,0
881,Mercy Medical Center,0,3,196
882,Ascension Saint Agnes Hospital,0,0,24
883,University of Maryland St. Joseph Medical Center,0,0,5
884,Sinai Hospital of Baltimore,0,0,0
885,MedStar Harbor Hospital,0,0,0
886,MedStar Union Memorial Hospital,0,0,24
887,University of Maryland Medical Center,0,0,59
888,Veterans Affairs Maryland Health Care System-Baltimore Division,0,0,70
889,NIH Clinical Center,0,0,31
890,Suburban Hospital,0,0,14
891,Walter Reed National Military Medical Center,0,0,35
892,Eastern Shore Hospital Center,0,0,5
893,Holy Cross Germantown Hospital,0,0,50
894,Adventist HealthCare White Oak Medical Center,0,0,2
895,Spring Grove Hospital Center,0,0,45
896,MedStar Southern Maryland Hospital Center,0,0,23
897,University of Maryland Shore Medical Center at Chestertown,0,0,0
898,Rehabilitation Hospital of Bowie,0,0,0
899,Howard County General Hospital,0,0,22
900,Thomas B. Finan Center,0,0,23
901,University of Maryland Shore Medical Center at Easton,0,0,0
902,"ChristianaCare, Union Hospital",0,0,10
903,University of Maryland Upper Chesapeake Medical Center,0,0,0
904,Frederick Health,0,0,64
905,University of Maryland Baltimore Washington Medical Center,0,0,27
906,Brook Lane,0,0,0
907,Meritus Health,0,0,3
908,Western Maryland Hospital Center,0,0,6
909,University of Maryland Harford Memorial Hospital,0,0,1
910,University of Maryland Capital Region Medical Center,0,0,21
911,Clifton T. Perkins Hospital Center,0,0,8
912,University of Maryland Charles Regional Medical Center,0,0,9
913,Luminis Health Doctors Community Medical Center,0,0,23
914,MedStar St. Mary's Hospital,0,0,0
915,Garrett Regional Medical Center,0,0,0
916,MedStar Montgomery Medical Center,0,0,3
917,CalvertHealth Medical Center,0,0,22
918,Northwest Hospital,0,0,3
919,Kennedy Krieger Institute,0,1,64
920,Adventist Healthcare Shady Grove Medical Center,0,0,0
921,Deer's Head Hospital Center,0,0,5
922,TidalHealth Peninsula Regional,0,1,11
923,Holy Cross Hospital,0,2,23
924,Saint Luke Institute,0,3,12
925,Springfield Hospital Center,0,0,0
926,Carroll Hospital,0,0,0
927,BridgePoint Continuing Care Hospital - Capitol Hill,0,0,141
928,The HSC Pediatric Center,0,0,1
929,Children's National Hospital,0,1,64
930,Howard University Hospital,0,3,251
931,MedStar Washington Hospital Center,0,3,50
932,MedStar Georgetown University Hospital,0,0,103
933,George Washington University Hospital,0,5,411
934,BridgePoint Continuing Care Hospital - National Harborside,0,0,25
935,MedStar National Rehabilitation Hospital,0,5,45
936,Saint Elizabeths Hospital,0,0,6
937,Sibley Memorial Hospital,0,0,10
938,United Medical Center,0,0,29
939,Washington DC Veterans Affairs Medical Center,0,0,29
940,Psychiatric Institute of Washington,0,0,28
941,Southern Virginia Mental Health Institute,0,0,0
942,Augusta Health,0,0,5
943,Newport News Behavioral Health Center,0,0,17
944,LewisGale Medical Center,0,0,0
945,CJW Medical Center,0,0,6
946,Johnston Memorial Hospital,0,0,1
947,Encompass Health Rehabilitation Hospital of Richmond,0,0,11
948,Henrico Doctors' Hospital,0,0,1
949,Centra Lynchburg General Hospital,0,0,0
950,Dickenson Community Hospital,0,0,0
951,UVA Encompass Health Rehabilitation Hospital,0,0,26
952,Virginia Beach Psychiatric Center,0,3,35
953,Inova Alexandria Hospital,0,0,17
954,Bon Secours St. Francis Medical Center,0,0,13
955,Hospital for Extended Recovery,0,0,27
956,Spotsylvania Regional Medical Center,0,0,31
957,Reston Hospital Center,0,0,84
958,Inova Mount Vernon Hospital,0,0,70
959,VHC Health,0,10,91
960,Capital Caring,0,0,111
961,Centra Bedford Memorial Hospital,0,0,0
962,Lonesome Pine Hospital,0,0,0
963,Select Specialty Hospital - Richmond,0,0,37
964,Piedmont Geriatric Hospital,0,0,12
965,Catawba Hospital,0,0,0
966,Sentara Martha Jefferson Hospital,0,0,36
967,LewisGale Hospital Montgomery,0,0,0
968,Chesapeake Regional Medical Center,0,0,20
969,Encompass Health Rehabilitation Hospital of Fredericksburg,0,0,4
970,Encompass Health Rehabilitation Hospital of Petersburg,0,0,18
971,LewisGale Hospital Alleghany,0,0,4
972,Stafford Hospital,0,0,7
973,UVA Health Culpeper Medical Center,0,0,8
974,SOVAH Health-Danville,0,0,0
975,Centra Specialty Hospital,0,0,0
976,Bon Secours - Southern Virginia Medical Center,0,0,9
977,Centra Southside Community Hospital,0,0,6
978,Inova Fair Oaks Hospital,0,0,23
979,Northern Virginia Mental Health Institute,0,0,41
980,Sheltering Arms Institute,0,0,13
981,Select Specialty Hospital Hampton Roads,0,0,0
982,Encompass Health Rehabilitation Hospital of Northern Virginia,0,0,0
983,Rehabilitation Hospital of Bristol,0,0,1
984,Fort Belvoir Community Hospital,0,0,17
985,Bon Secours - Southampton Medical Center,0,0,0
986,Mary Washington Hospital,0,0,8
987,Valley Health - Warren Memorial Hospital,0,0,23
988,Buchanan General Hospital,0,0,0
989,Twin County Regional Healthcare,0,0,0
990,Sentara CarePlex Hospital,0,0,8
991,U. S. Air Force Hospital,0,0,0
992,Sentara RMH Medical Center,0,0,15
993,TriCities Hospital,0,0,4
994,Bath Community Hospital,0,0,0
995,Hampton Veterans Affairs Medical Center,0,0,41
996,Bon Secours Rappahannock General Hospital,0,0,0
997,Russell County Medical Center,0,0,0
998,Inova Loudoun Hospital,0,1,42
999,Carilion Rockbridge Community Hospital,0,0,0
1000,Valley Health - Page Memorial Hospital,0,0,10
1001,Riverside Doctors' Hospital Williamsburg,0,0,20
1002,UVA Health Haymarket Medical Center,0,0,33
1003,Sheltering Arms Institute,0,0,4
1004,StoneSprings Hospital Center,0,0,0
1005,UVA Health Prince William Medical Center,0,0,17
1006,Smyth County Community Hospital,0,0,1
1007,Southwestern Virginia Mental Health Institute,0,0,2
1008,Inova Specialty Hospital,0,0,0
1009,SOVAH Health-Martinsville,0,0,0
1010,Inova Fairfax Medical Campus,0,0,74
1011,Riverside Shore Memorial Hospital,0,0,7
1012,Bon Secours Mary Immaculate Hospital,0,0,1
1013,Cumberland Hospital for Children and Adolescents,0,0,0
1014,Riverside Regional Medical Center,0,1,17
1015,Riverside Walter Reed Hospital,0,0,0
1016,Coastal Virginia Rehabilitation,0,0,0
1017,Children's Hospital of The King's Daughters,0,0,27
1018,Sentara Leigh Hospital,0,0,60
1019,Sentara Norfolk General Hospital,0,0,27
1020,Lake Taylor Transitional Care Hospital,0,0,5
1021,Kempsville Center for Behavioral Health,0,0,61
1022,Norton Community Hospital,0,0,0
1023,Carilion Giles Community Hospital,0,0,0
1024,Central State Hospital,0,0,5
1025,Poplar Springs Hospital,0,0,23
1026,Bon Secours - Southside Medical Center,0,0,20
1027,Bon Secours Maryview Medical Center,0,1,5
1028,Naval Medical Center,0,0,13
1029,LewisGale Hospital Pulaski,0,0,1
1030,Carilion New River Valley Medical Center,0,0,1
1031,Clinch Valley Medical Center,0,0,0
1032,Children's Hospital of Richmond at VCU,0,0,36
1033,VCU Medical Center,0,0,104
1034,Bon Secours Richmond Community Hospital,0,0,1
1035,Bon Secours Memorial Regional Medical Center,0,0,15
1036,Bon Secours St. Mary's Hospital,0,0,1
1037,Hunter Holmes McGuire Veterans Affairs Medical Center-Richmond,0,0,5
1038,Carilion Roanoke Memorial Hospital,0,0,0
1039,Salem Veterans Affairs Medical Center,0,0,0
1040,Carilion Franklin Memorial Hospital,0,0,0
1041,Sentara Halifax Regional Hospital,0,0,1
1042,VCU Health Community Memorial Hospital,0,0,0
1043,Commonwealth Center for Children and Adolescents,0,0,18
1044,Western State Hospital,0,0,6
1045,Sentara Princess Anne Hospital,0,0,22
1046,Sentara Obici Hospital,0,0,8
1047,VCU Health Tappahannock Hospital,0,0,0
1048,Sentara Virginia Beach General Hospital,1,3,40
1049,Fauquier Hospital,0,0,17
1050,Carilion Tazewell Community Hospital,0,0,0
1051,Eastern State Hospital,0,0,2
1052,Sentara Williamsburg Regional Medical Center,0,0,19
1053,Valley Health - Winchester Medical Center,0,4,2
1054,Sentara Northern Virginia Medical Center,0,0,87
1055,Valley Health - Shenandoah Memorial Hospital,0,0,0
1056,Wythe County Community Hospital,0,0,2
1057,UVA Health University Medical Center,0,0,3
1058,Dominion Hospital,0,1,78
1059,Hiram W. Davis Medical Center,0,0,5
1060,UVA Health University Medical Center Ivy,0,0,0
1061,The Pavilion at Williamsburg Place,0,0,19
1062,Encompass Health Rehabilitation Hospital of Huntington,0,0,23
1063,Encompass Health Rehabilitation Hospital of Morgantown,0,0,0
1064,Raleigh General Hospital,0,1,4
1065,West Virginia University Hospitals,0,0,1
1066,Select Specialty Hospital-Charleston,0,1,66
1067,Cornerstone Hospital of Huntington,0,0,5
1068,Peterson Healthcare and Rehabilitation Hospital,0,0,3
1069,Beckley ARH Hospital,0,1,9
1070,Beckley Veterans Affairs Medical Center,0,0,1
1071,Valley Health - War Memorial Hospital,0,0,0
1072,St. Joseph's Hospital,0,0,12
1073,Charleston Area Medical Center,0,1,44
1074,Saint Francis Hospital,0,1,66
1075,Charleston Surgical Hospital,0,0,34
1076,Highland Hospital,0,0,8
1077,United Hospital Center,0,0,17
1078,Louis A. Johnson Veterans Affairs Medical Center,0,0,16
1079,Davis Medical Center,0,2,9
1080,Braxton County Memorial Hospital,0,0,0
1081,Reynolds Memorial Hospital,0,0,1
1082,Grafton City Hospital,0,0,16
1083,Minnie Hamilton HealthCare Center,0,0,0
1084,Summers County ARH Hospital,0,0,0
1085,Cabell Huntington Hospital,0,0,9
1086,River Park Hospital,0,0,7
1087,Mildred Mitchell-Bateman Hospital,0,0,3
1088,St. Mary's Medical Center,0,0,5
1089,Huntington Veterans Affairs Medical Center,0,0,1
1090,Acuity Specialty Hospital-Ohio Valley at Weirton,0,0,3
1091,WVU Medicine Potomac Valley Hospital,0,0,0
1092,Mon Health Preston Memorial Hospital,0,0,0
1093,Logan Regional Medical Center,0,0,0
1094,Boone Memorial Hospital,0,0,0
1095,Pocahontas Memorial Hospital,0,0,0
1096,Berkeley Medical Center,0,1,8
1097,Martinsburg Veterans Affairs Medical Center,0,0,0
1098,Montgomery General Hospital,0,0,0
1099,Mon Health Medical Center,0,0,0
1100,Wetzel County Hospital,0,0,0
1101,CAMC Plateau Medical Center,0,0,5
1102,Camden Clark Medical Center,0,0,0
1103,Encompass Health Rehabilitation Hospital of Parkersburg,0,0,0
1104,Grant Memorial Hospital,0,0,0
1105,Broaddus Hospital,0,4,6
1106,Rivers Health,0,0,4
1107,Princeton Community Hospital,0,0,7
1108,Jefferson Medical Center,0,0,6
1109,Encompass Health Rehabilitation Hospital of Princeton,0,0,8
1110,Jackson General Hospital,0,0,17
1111,Valley Health - Hampshire Memorial Hospital,0,0,0
1112,CAMC Greenbrier Valley Medical Center,0,0,0
1113,Thomas Memorial Hospital,0,0,11
1114,Roane General Hospital,0,0,0
1115,Webster County Memorial Hospital,0,0,0
1116,Weirton Medical Center,0,0,5
1117,Summersville Regional Medical Center,0,0,0
1118,Welch Community Hospital,0,0,0
1119,Mon Health Stonewall Jackson Memorial Hospital,0,0,0
1120,"William R. Sharpe, Jr. Hospital",0,0,0
1121,Wheeling Hospital,0,0,6
